,word,score,count,ratio
450,🤦,-117,964,-0.12136929460580913
697,😔,-85,1108,-0.07671480144404332
314,💀,-83,664,-0.125
231,♂,-67,1199,-0.05587989991659716
480,💔,-65,443,-0.14672686230248308
229,😡,-52,280,-0.18571428571428572
132,😒,-51,308,-0.16558441558441558
84,😢,-41,425,-0.09647058823529411
1110,🙄,-41,905,-0.045303867403314914
232,🤷,-40,916,-0.043668122270742356
38,🤣,-39,2965,-0.01315345699831366
935,🤬,-37,123,-0.3008130081300813
52,😐,-37,259,-0.14285714285714285
1073,😑,-36,184,-0.1956521739130435
317,😞,-31,196,-0.15816326530612246
582,🤮,-31,183,-0.16939890710382513
857,😕,-26,165,-0.15757575757575756
83,♀,-26,1187,-0.02190395956192081
1058,🙃,-24,365,-0.06575342465753424
177,🥴,-24,742,-0.03234501347708895
180,📖,-21,72,-0.2916666666666667
662,🤢,-20,237,-0.08438818565400844
744,🐍,-19,80,-0.2375
707,🎐,-18,50,-0.36
585,🖕,-18,81,-0.2222222222222222
584,😖,-17,105,-0.1619047619047619
509,😓,-16,92,-0.17391304347826086
403,🍏,-16,60,-0.26666666666666666
310,😥,-15,106,-0.14150943396226415
588,😷,-15,88,-0.17045454545454544
917,🧙,-14,48,-0.2916666666666667
742,😪,-14,161,-0.08695652173913043
293,😣,-14,148,-0.0945945945945946
59,🌲,-14,64,-0.21875
238,🥱,-14,81,-0.1728395061728395
816,💶,-13,48,-0.2708333333333333
639,🦅,-13,76,-0.17105263157894737
25,👎,-13,70,-0.18571428571428572
779,😤,-11,330,-0.03333333333333333
999,🐲,-11,37,-0.2972972972972973
129,😫,-11,265,-0.04150943396226415
898,🦠,-11,16,-0.6875
813,😠,-9,96,-0.09375
155,🤕,-9,45,-0.2
705,☠,-9,91,-0.0989010989010989
563,👻,-8,26,-0.3076923076923077
1018,🐉,-8,43,-0.18604651162790697
517,🚮,-8,16,-0.5
1096,🙅,-6,46,-0.13043478260869565
285,♦,-6,17,-0.35294117647058826
504,😹,-6,148,-0.04054054054054054
407,🤨,-6,147,-0.04081632653061224
673,🤡,-6,293,-0.020477815699658702
455,🥶,-5,59,-0.0847457627118644
571,🎃,-5,14,-0.35714285714285715
933,🗺,-5,22,-0.22727272727272727
429,🗿,-5,39,-0.1282051282051282
212,🐀,-5,14,-0.35714285714285715
960,💭,-5,33,-0.15151515151515152
699,🗣,-5,173,-0.028901734104046242
273,😰,-5,58,-0.08620689655172414
372,⬅,-5,10,-0.5
18,👹,-5,15,-0.3333333333333333
404,🧩,-4,17,-0.23529411764705882
189,⁉,-4,23,-0.17391304347826086
413,♋,-4,5,-0.8
363,😾,-4,15,-0.26666666666666666
503,😵,-4,41,-0.0975609756097561
42,⌚,-4,8,-0.5
511,👺,-3,15,-0.2
300,🛑,-3,14,-0.21428571428571427
362,👽,-3,29,-0.10344827586206896
593,☮,-3,9,-0.3333333333333333
922,🔪,-3,24,-0.125
995,🤥,-3,23,-0.13043478260869565
383,💣,-3,43,-0.06976744186046512
723,🖐,-3,28,-0.10714285714285714
1060,😨,-3,27,-0.1111111111111111
60,🧪,-3,18,-0.16666666666666666
706,🌃,-3,6,-0.5
165,🧟,-3,6,-0.5
332,🤒,-3,30,-0.1
998,👃,-3,13,-0.23076923076923078
607,♣,-3,9,-0.3333333333333333
326,🚔,-2,5,-0.4
139,🧊,-2,11,-0.18181818181818182
1133,🍥,-2,5,-0.4
16,👒,-2,19,-0.10526315789473684
589,🔘,-2,6,-0.3333333333333333
243,🗨,-2,6,-0.3333333333333333
675,🤫,-2,94,-0.02127659574468085
411,🚢,-2,4,-0.5
982,🚬,-2,10,-0.2
966,☃,-2,7,-0.2857142857142857
641,🅰,-2,11,-0.18181818181818182
984,🃏,-2,5,-0.4
1120,🕎,-2,2,-1.0
791,🔽,-2,9,-0.2222222222222222
980,🦈,-2,15,-0.13333333333333333
499,🖍,-2,4,-0.5
601,🎞,-2,6,-0.3333333333333333
409,🔨,-2,7,-0.2857142857142857
920,👾,-1,9,-0.1111111111111111
296,🛌,-1,3,-0.3333333333333333
299,↗,-1,4,-0.25
983,⛽,-1,8,-0.125
182,✳,-1,2,-0.5
702,🤾,-1,4,-0.25
645,🕯,-1,8,-0.125
649,🐂,-1,4,-0.25
622,🔜,-1,10,-0.1
208,⏱,-1,12,-0.08333333333333333
973,🆗,-1,1,-1.0
952,🦱,-1,1,-1.0
925,🤏,-1,9,-0.1111111111111111
220,🈵,-1,1,-1.0
225,🐡,-1,1,-1.0
928,🟣,-1,3,-0.3333333333333333
270,↙,-1,2,-0.5
934,💱,-1,1,-1.0
611,🌠,-1,16,-0.0625
251,🚃,-1,1,-1.0
682,🎩,-1,18,-0.05555555555555555
288,🍡,-1,3,-0.3333333333333333
301,🤰,-1,12,-0.08333333333333333
754,🩸,-1,11,-0.09090909090909091
905,🛬,-1,2,-0.5
572,🛴,-1,3,-0.3333333333333333
412,😿,-1,23,-0.043478260869565216
833,🔷,-1,4,-0.25
423,🍶,-1,1,-1.0
821,🐷,-1,24,-0.041666666666666664
567,🤚,-1,48,-0.020833333333333332
719,🥥,-1,1,-1.0
435,➖,-1,8,-0.125
807,🆒,-1,2,-0.5
716,🌋,-1,7,-0.14285714285714285
806,📟,-1,1,-1.0
551,🎒,-1,6,-0.16666666666666666
794,🐮,-1,7,-0.14285714285714285
468,🦲,-1,1,-1.0
471,📴,-1,1,-1.0
474,🏩,-1,1,-1.0
550,🦴,-1,2,-0.5
736,🖇,-1,1,-1.0
536,🀄,-1,1,-1.0
527,🌑,-1,7,-0.14285714285714285
805,🟨,-1,2,-0.5
402,❓,-1,17,-0.058823529411764705
846,🔯,-1,2,-0.5
392,🗻,-1,2,-0.5
900,🧥,-1,2,-0.5
597,📠,-1,2,-0.5
897,🔰,-1,4,-0.25
322,⌛,-1,3,-0.3333333333333333
888,😦,-1,13,-0.07692307692307693
758,◼,-1,3,-0.3333333333333333
339,🕛,-1,4,-0.25
340,🚸,-1,1,-1.0
348,🥕,-1,7,-0.14285714285714285
350,🛳,-1,1,-1.0
354,😩,-1,958,-0.0010438413361169101
871,✖,-1,6,-0.16666666666666666
365,⚓,-1,9,-0.1111111111111111
367,🐜,-1,5,-0.2
369,🍲,-1,4,-0.25
373,🍠,-1,4,-0.25
713,🥤,-1,4,-0.25
379,🐒,-1,10,-0.1
380,🏌,-1,15,-0.06666666666666667
385,🚧,-1,6,-0.16666666666666666
854,🌩,-1,1,-1.0
302,🌽,-1,6,-0.16666666666666666
878,🧾,-1,2,-0.5
652,👳,-1,2,-0.5
20,😲,-1,54,-0.018518518518518517
1132,♠,-1,11,-0.09090909090909091
1019,👷,-1,1,-1.0
162,💵,-1,23,-0.043478260869565216
1127,📵,-1,2,-0.5
9,🧵,-1,4,-0.25
65,♊,-1,5,-0.2
8,🛃,-1,1,-1.0
90,👩,-1,62,-0.016129032258064516
1050,⛄,-1,2,-0.5
91,🧽,-1,4,-0.25
1125,🦧,-1,3,-0.3333333333333333
11,🚉,-1,1,-1.0
135,🎭,-1,14,-0.07142857142857142
1103,🎪,-1,4,-0.25
127,⏸,-1,1,-1.0
145,🅿,-1,8,-0.125
41,☢,-1,4,-0.25
800,🐁,0,2,0.0
804,🎍,0,1,0.0
453,🏦,0,7,0.0
1086,🈚,0,1,0.0
441,🎡,0,4,0.0
440,⬜,0,4,0.0
810,📙,0,2,0.0
811,🏘,0,1,0.0
454,🥞,0,10,0.0
1097,🐘,0,5,0.0
175,🧷,0,1,0.0
795,⛈,0,7,0.0
459,⚒,0,13,0.0
1102,🎢,0,5,0.0
497,🔎,0,4,0.0
770,🕑,0,2,0.0
772,🏞,0,4,0.0
493,💷,0,7,0.0
492,💢,0,11,0.0
490,🔬,0,4,0.0
776,🥭,0,1,0.0
777,⚱,0,1,0.0
1101,🦿,0,2,0.0
790,🔶,0,5,0.0
62,♾,0,13,0.0
476,🚅,0,1,0.0
473,🧧,0,1,0.0
469,📼,0,2,0.0
466,🎠,0,4,0.0
73,🎚,0,2,0.0
457,⏬,0,2,0.0
76,🥾,0,1,0.0
419,🆔,0,3,0.0
78,📑,0,1,0.0
1077,🕳,0,5,0.0
377,🥯,0,1,0.0
376,🚪,0,3,0.0
97,🙍,0,2,0.0
371,🐧,0,8,0.0
370,🗯,0,3,0.0
95,🤺,0,1,0.0
101,🏓,0,1,0.0
1070,🧜,0,1,0.0
866,🚤,0,2,0.0
1066,🈺,0,1,0.0
351,🕣,0,1,0.0
872,🩱,0,1,0.0
873,ℹ,0,5,0.0
366,⛔,0,9,0.0
856,🔹,0,7,0.0
855,🏙,0,1,0.0
92,🐟,0,9,0.0
422,🔦,0,1,0.0
421,🦏,0,1,0.0
420,🕸,0,1,0.0
830,🧅,0,1,0.0
79,⏺,0,2,0.0
415,🧒,0,1,0.0
835,🟪,0,1,0.0
1082,🛐,0,5,0.0
89,🔌,0,2,0.0
401,😟,0,56,0.0
852,🥬,0,3,0.0
393,⛱,0,2,0.0
391,🈶,0,1,0.0
390,🕌,0,2,0.0
389,🔓,0,4,0.0
77,🚼,0,1,0.0
500,🍽,0,6,0.0
49,🥣,0,4,0.0
759,☂,0,2,0.0
693,💹,0,1,0.0
616,🗜,0,2,0.0
613,🔛,0,2,0.0
612,🈸,0,2,0.0
610,❇,0,4,0.0
1128,📃,0,2,0.0
703,🏐,0,7,0.0
598,⛵,0,1,0.0
594,📛,0,1,0.0
1124,🕙,0,1,0.0
591,🧇,0,1,0.0
1123,📕,0,1,0.0
26,🎰,0,2,0.0
710,🆘,0,12,0.0
580,🐪,0,3,0.0
689,🛏,0,3,0.0
579,🕶,0,8,0.0
687,🌇,0,2,0.0
6,🧻,0,4,0.0
650,🦺,0,1,0.0
653,🧎,0,1,0.0
647,🗓,0,18,0.0
1137,⏫,0,1,0.0
644,🐿,0,14,0.0
654,🪓,0,3,0.0
1136,🏕,0,1,0.0
4,📉,0,7,0.0
1135,◽,0,1,0.0
669,💬,0,5,0.0
634,⚙,0,1,0.0
633,⛓,0,4,0.0
631,🦯,0,2,0.0
671,🐃,0,3,0.0
629,▫,0,2,0.0
1134,🥏,0,2,0.0
715,👣,0,16,0.0
717,🍛,0,3,0.0
32,☯,0,5,0.0
1108,🧛,0,1,0.0
534,🧄,0,1,0.0
533,🧦,0,3,0.0
532,👡,0,3,0.0
530,🔺,0,3,0.0
747,㊗,0,1,0.0
48,🦔,0,3,0.0
526,🚦,0,6,0.0
525,🕟,0,2,0.0
522,🥒,0,9,0.0
520,🌶,0,6,0.0
753,〰,0,7,0.0
343,🦓,0,1,0.0
50,🦪,0,1,0.0
757,🔼,0,2,0.0
1109,🎦,0,1,0.0
743,🚶,0,46,0.0
45,🍘,0,2,0.0
540,💼,0,5,0.0
33,🪀,0,2,0.0
569,🟢,0,3,0.0
718,🌭,0,1,0.0
566,🔟,0,1,0.0
560,👬,0,5,0.0
729,🩰,0,4,0.0
730,🐓,0,7,0.0
501,🌥,0,1,0.0
731,🥝,0,2,0.0
553,🐌,0,3,0.0
552,🛶,0,2,0.0
548,🏄,0,7,0.0
547,♿,0,5,0.0
43,🌉,0,2,0.0
543,🛀,0,5,0.0
